No,Prodi,Angkatan,Kabupaten Sekolah,Propinsi Sekolah,Jalur,Nilai Masuk,IPS 1,IPS 2,IPS 3,IPS 4,IPS 5,IPS 6,IPS 7,IPS 8,SKS 1,SKS 2,SKS 3,SKS 4,SKS 5,SKS 6,SKS 7,SKS 8,Poin,Lama TA,Tgl Masuk USD,Tgl Lulus,Lama Studi Bulan,Lama Studi
275,TI,2012,Klaten,Jawa Tengah,Gelombang  ,7.6,3,3.46,3.67,3.23,3.5,3.86,3.37,0,20,24,18,22,18,21,19,6,15,2,01/09/2012,30/09/2016,48,9
276,TI,2012,Sukoharjo,Jawa Tengah,Jalur UNAS ,86.08,3.5,3.58,3.72,3.63,3.84,3.77,3.62,0,20,24,18,19,19,22,16,6,10,3,01/09/2012,31/01/2017,52,10
277,TI,2012,Sleman,Daerah Istimewa Yogyakarta,Gelombang  ,9.7,4,3.92,3.67,3.48,3.26,3.21,3.17,4,20,24,18,21,23,19,12,12,15,7,01/09/2012,29/03/2019,78,14
278,MAT,2012,Yogyakarta,Daerah Istimewa Yogyakarta,Jalur Prestasi Raport ,79.92,3.21,3.68,3.42,3.43,3.92,3.65,4,4,19,22,24,23,24,23,16,6,65,2,01/09/2012,29/04/2016,43,8
279,MAT,2012,Sleman,Daerah Istimewa Yogyakarta,Jalur UNAS ,82.25,4,4,3.88,4,4,3.83,3.2,4,19,22,24,23,22,23,16,6,69,2,01/09/2012,31/08/2016,47,8
280,MAT,2012,Jakarta Barat,Daerah Khusus Ibukota Jakarta,Jalur Prestasi Raport ,77.75,3,3.05,3.39,3.3,3.73,3.39,3.75,3.5,19,22,23,23,22,23,14,8,13,2,01/09/2012,29/07/2016,46,8
281,MAT,2012,Minahasa,Sulawesi Utara,Jalur Prestasi Raport ,90.13,3.74,3.59,3.62,3.57,3.92,3.65,4,4,19,22,24,23,24,23,12,9,12,2,01/09/2012,31/01/2017,52,10
282,MAT,2012,Sumba Timur,Nusa Tenggara Timur,Jalur UNAS ,79.41,2.26,2.5,2.91,3.04,2.86,3.13,3.43,4,19,20,23,23,22,23,20,17,19,2,01/09/2012,29/07/2016,46,8
283,MAT,2012,Bengkulu,Bengkulu,Jalur Prestasi Raport ,76.91,2.11,2.35,2.7,2.26,2.33,2.81,2.77,3.41,19,20,20,23,21,21,22,20,15,3,01/09/2012,31/01/2017,52,10
284,MAT,2012,Gunung Kidul,Daerah Istimewa Yogyakarta,Jalur Prestasi Raport ,70.33,1.84,0.85,2.37,1.47,2.11,2.05,2.32,1.85,19,20,19,19,19,21,22,23,10,3,01/09/2012,31/01/2017,52,10
285,MAT,2012,Ende,Nusa Tenggara Timur,Gelombang  ,4.2,1.68,1.95,2.65,2.29,2.9,2.67,2.92,3,19,20,20,21,21,21,24,21,11,3,01/09/2012,31/01/2017,52,10
286,MAT,2012,Bogor,Jawa Barat,Gelombang  ,9,2.68,2.55,1.92,2.16,2.21,2.38,2.76,2.75,19,22,24,19,19,21,21,15,18,3,01/09/2012,31/01/2017,52,10
287,MAT,2012,Prabumulih,Sumatera Selatan,Gelombang  ,7,2.84,1.45,2.74,2.11,2.32,3.05,3.41,3.62,19,22,19,19,19,21,22,19,10,3,01/09/2012,31/01/2017,52,10
288,MAT,2012,Purworejo,Jawa Tengah,Jalur UNAS ,76.75,2.53,2.65,2.75,2.29,2.11,2.39,3.64,2.92,19,20,20,21,19,18,22,15,27,4,01/09/2012,31/01/2018,64,11
289,MAT,2012,Cilacap,Jawa Tengah,Jalur UNAS ,90.16,2.26,2.05,2.45,2.33,2,2.57,2.89,3.67,19,22,20,21,21,21,19,12,13,4,01/09/2012,31/01/2018,64,11
290,MAT,2012,Yogyakarta,Daerah Istimewa Yogyakarta,Gelombang  ,8.1,2.63,2.8,3.25,2.48,3.11,3.23,3.58,3.62,19,20,20,21,19,22,19,14,13,3,01/09/2012,31/01/2017,52,10
291,MAT,2012,Tangerang Selatan,Banten,Jalur UNAS ,77,2.53,2.75,3.13,3.04,2.68,2.74,3.57,3.46,19,20,23,23,22,23,20,19,10,2,01/09/2012,30/11/2016,50,10
292,MAT,2012,Belu,Nusa Tenggara Timur,Gelombang  ,5.4,2.26,2.55,3.17,2.7,3.14,2.78,3.86,3.82,19,20,23,23,22,23,20,17,15,2,01/09/2012,31/08/2016,47,8
293,MAT,2012,OKU Timur (Ogan Komering Ulu Timur),Sumatera Selatan,Jalur UNAS ,82.55,2.68,2.82,3.04,2.96,3.36,3.04,4,3.75,19,22,23,23,22,23,17,12,13,2,01/09/2012,31/08/2016,47,8
294,MAT,2012,Kolaka,Sulawesi Tenggara,Jalur UNAS ,85.66,2.68,3.41,3.35,3.26,3,2.96,3.82,0,19,22,23,23,22,23,17,0,16,2,01/09/2012,31/05/2016,44,8
295,MAT,2012,Magelang,Jawa Tengah,Jalur UNAS ,78.16,2.68,2.3,2.35,2.62,3,2.95,3.7,4,19,20,20,21,21,21,20,12,11,3,01/09/2012,31/01/2017,52,10
296,MAT,2012,Bekasi,Jawa Barat,Jalur UNAS ,87.33,3.21,3,3.33,3.65,3.83,3.22,4,0,19,22,24,23,24,23,9,0,39,1,01/09/2012,29/02/2016,41,7
297,MAT,2012,Jayapura,Irian Jaya/ Papua,Gelombang  ,8.1,2.95,2.45,2.6,2.74,2.67,2.54,3.5,2.5,19,22,20,23,21,24,20,14,13,3,01/09/2012,31/01/2017,52,10
298,TE,2012,Balikpapan,Kalimantan Timur,Jalur Prestasi Raport ,70.83,1.9,1.55,2.25,2.57,2.52,2.41,2.5,2.56,20,20,20,21,21,22,18,9,12,4,01/09/2012,31/01/2018,64,11
299,TE,2012,Klaten,Jawa Tengah,Gelombang  ,7.05,3.2,3.1,3.2,3,3,3,0,0,25,21,7,13,6,4,0,0,16,5,01/09/2012,31/07/2015,34,7
300,TE,2012,Sleman,Daerah Istimewa Yogyakarta,Jalur UNAS ,73.41,3.65,3.27,3.36,3.48,3.7,3.86,4,4,20,22,22,23,23,22,8,4,10,2,01/09/2012,29/07/2016,46,8
301,TE,2012,Klaten,Jawa Tengah,Jalur Prestasi Raport ,71.25,2.75,2,2.7,3.43,3.09,3.25,2.77,3.1,20,22,20,21,23,24,13,10,11,2,01/09/2012,29/07/2016,46,8
302,TE,2012,Badung,Bali,Jalur Prestasi Raport ,77.5,3.8,3.64,3.73,3.57,3.87,3.86,4,4,20,22,22,23,23,22,8,4,16,2,01/09/2012,29/07/2016,46,8
303,TE,2012,Magelang,Jawa Tengah,Jalur Prestasi Raport ,73.54,2,2,2.38,2.76,3,3.29,3,2.75,20,20,21,21,22,24,17,12,12,3,01/09/2012,31/07/2017,58,10
304,TE,2012,Luar Negeri (Abroad),Luar Negeri (Abroad),Gelombang  ,4.35,1.85,1.65,2.1,3,2.83,2.62,2.81,2.92,20,20,20,20,24,24,16,13,13,3,01/09/2012,28/02/2017,53,10
305,TE,2012,Nunukan,Kalimantan Timur,Jalur UNAS ,72.08,1.8,1.85,1.95,2.75,2.91,2.92,3.1,2.69,20,20,20,20,23,24,20,13,15,3,01/09/2012,28/04/2017,55,10
306,TE,2012,Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Jalur Prestasi Raport ,70.58,3.2,2.64,3.23,2.76,3.38,3.17,3.85,3,20,22,22,21,21,24,13,4,24,2,01/09/2012,29/07/2016,46,8
307,TE,2012,Kupang,Nusa Tenggara Timur,Jalur Prestasi Raport ,80.75,3.75,3.27,3.77,3.3,3.78,3.68,4,4,20,22,22,23,23,22,8,4,15,2,01/09/2012,29/07/2016,46,8
308,TE,2012,Sintang,Kalimantan Barat,Gelombang  ,5.75,2.05,1.75,2.55,2.76,2.91,3.05,2.68,2.71,20,20,20,21,23,22,19,14,10,2,01/09/2012,31/01/2017,52,10
309,TE,2012,Yogyakarta,Daerah Istimewa Yogyakarta,Jalur Prestasi Raport ,84.78,3.35,2.91,3.27,3.35,3.61,3.41,3.38,3,20,22,22,23,23,22,8,4,14,2,01/09/2012,29/07/2016,46,8
310,TE,2012,Yogyakarta,Daerah Istimewa Yogyakarta,Jalur Prestasi Raport ,80.5,3,2.86,3.18,2.96,3.48,3.5,2.57,4,20,22,22,23,21,22,7,4,10,2,01/09/2012,31/01/2017,52,10
311,TE,2012,Surakarta,Jawa Tengah,Gelombang  ,5.65,2.54,2.19,2.2,2.2,4,2,0,0,24,21,7,15,9,6,4,0,12,6,01/09/2012,30/11/2016,50,10
312,TE,2012,Lahat,Sumatera Selatan,Gelombang  ,6.75,3.32,3.14,2.8,3.14,3,4,0,0,22,21,7,7,6,4,0,0,13,5,01/09/2012,31/07/2015,34,7
313,TE,2012,Pangkal Pinang,Bangka Belitung,Jalur Prestasi Raport ,80.83,3.1,3.36,3.27,3.35,3.57,3.5,3.75,4,20,22,22,23,23,22,8,4,11,2,01/09/2012,31/05/2016,44,8
314,TE,2012,Yogyakarta,Daerah Istimewa Yogyakarta,Gelombang  ,7.3,3.35,2.68,3.15,2.61,3.45,2.79,3,3.33,20,22,20,23,22,24,11,6,20,2,01/09/2012,31/08/2016,47,8
315,TE,2012,Surakarta,Jawa Tengah,Jalur Prestasi Raport ,76.7,3.45,3,3.55,3.26,3.78,3.5,4,4,20,22,22,23,23,22,8,4,12,2,01/09/2012,31/08/2016,47,8
316,TE,2012,Semarang,Jawa Tengah,Jalur UNAS ,87,3.7,2.95,3.64,3.57,3.48,3.64,3.62,4,20,22,22,23,23,22,8,4,11,2,01/09/2012,29/07/2016,46,8
317,TE,2012,Sleman,Daerah Istimewa Yogyakarta,Jalur Prestasi Raport ,81.6,3.3,2.32,3,3,3,3.23,3.36,4,20,22,20,23,24,22,14,4,11,2,01/09/2012,29/07/2016,46,8
318,TE,2012,Surakarta,Jawa Tengah,Gelombang  ,7.8,2.27,2.76,2.12,2.11,2,3,0,0,22,21,10,15,6,4,0,0,12,5,01/09/2012,31/07/2015,34,7
319,TE,2012,Cirebon,Jawa Barat,Gelombang  ,6.8,3.09,2.95,3.38,3.14,3,4,0,0,22,21,10,13,6,4,0,0,13,5,01/09/2012,31/07/2015,34,7
320,TE,2012,Tangerang,Jawa Barat,Gelombang  ,6.8,3.18,3.05,3,2.71,2,3,0,0,22,21,10,13,6,4,0,0,16,5,01/09/2012,31/07/2015,34,7
321,TE,2012,Bekasi,Jawa Barat,Gelombang  ,6.6,3.77,2.86,3.2,3.7,4,0,0,0,22,21,7,16,6,4,0,0,10,7,01/09/2012,31/10/2016,49,9
322,TE,2012,Singkawang,Kalimantan Barat,Gelombang  ,4.55,1.75,1.55,2.15,2.43,2.38,2.63,2.73,2.91,20,20,20,21,21,19,15,11,16,6,01/09/2012,31/10/2018,73,13
323,TE,2012,Bantul,Daerah Istimewa Yogyakarta,Gelombang  ,7.8,3.52,3.38,3.2,3.14,3,4,0,0,23,21,7,13,6,4,0,0,13,5,01/09/2012,31/07/2015,34,7
324,TE,2012,Semarang,Jawa Tengah,Gelombang  ,5.3,2.36,2.48,1.9,2.27,3,3,0,0,22,21,12,11,6,4,0,0,12,5,01/09/2012,31/07/2015,34,7
325,TE,2012,Purworejo,Jawa Tengah,Jalur Prestasi Raport ,77.08,1.6,1.3,1.95,2.86,2.91,3,3.21,3.07,20,20,21,21,23,22,14,14,10,3,01/09/2012,31/07/2017,58,10
326,TE,2012,Luwu Timur,Sulawesi Selatan,Jalur UNAS ,86.83,3.45,2.73,3.08,2.91,2.83,3.09,3.11,3.57,20,22,24,23,23,22,18,7,15,2,01/09/2012,29/07/2016,46,8
327,TE,2012,Sleman,Daerah Istimewa Yogyakarta,Jalur UNAS ,80,2.85,2.36,3.35,3.57,3.17,3.23,3.38,4,20,22,20,23,23,22,10,3,11,7,01/09/2012,31/10/2018,73,13
328,TE,2012,Yogyakarta,Daerah Istimewa Yogyakarta,Gelombang  ,8.75,4,3.77,3.86,3.7,3.74,3.77,4,4,20,22,22,23,23,22,8,4,12,2,01/09/2012,29/07/2016,46,8
329,TE,2012,Magelang,Jawa Tengah,Jalur UNAS ,78.75,2.3,2.15,2.62,2.71,2.7,2.95,3.56,3.18,20,20,21,21,20,22,18,11,15,2,01/09/2012,31/01/2017,52,10
330,TE,2012,Paniai Nabire,Irian Jaya/ Papua,Gelombang  ,5.2,1.95,1.9,2.48,2.81,2.91,2.86,2.53,3.82,20,20,21,21,22,22,19,11,10,3,01/09/2012,31/07/2017,58,10
331,TE,2012,Kulonprogo,Daerah Istimewa Yogyakarta,Gelombang  ,4.6,1.8,1.65,2.19,2.62,2.61,3.05,3.22,2.93,20,20,21,21,23,22,12,14,13,3,01/09/2012,31/07/2017,58,10
332,TE,2012,Bekasi,Jawa Barat,Jalur UNAS ,89.58,2.8,2.14,3,2.86,3.17,3.33,3.2,3,20,22,20,21,23,24,15,4,10,2,01/09/2012,29/07/2016,46,8
333,TE,2012,Surakarta,Jawa Tengah,Jalur Kerjasama ,,2.95,3.27,2.86,0,0,0,4,0,37,22,21,0,6,0,4,0,0,5,01/09/2012,30/10/2015,37,7
334,TE,2012,Surakarta,Jawa Tengah,Jalur Kerjasama ,,3.57,3.82,3.19,0,0,0,3,0,37,22,21,0,6,0,4,0,0,5,01/09/2012,18/12/2015,39,7
335,TE,2012,Magelang,Jawa Tengah,Jalur Kerjasama ,,3.55,3.59,3.84,0,4,0,4,0,38,22,21,0,6,0,4,0,0,5,01/09/2012,30/11/2015,38,7
336,TE,2012,Surakarta,Jawa Tengah,Jalur Kerjasama ,,3,3.09,3.52,0,0,0,4,0,37,22,21,0,6,0,4,0,0,5,01/09/2012,30/10/2015,37,7
337,TE,2012,Surakarta,Jawa Tengah,Jalur Kerjasama ,,3.33,3.14,3.19,0,0,0,4,0,30,22,21,0,6,0,4,0,0,5,01/09/2012,30/10/2015,37,7
338,TE,2012,Surakarta,Jawa Tengah,Jalur Kerjasama ,,3.53,3.91,3.62,0,0,0,4,0,38,22,21,0,6,0,4,0,0,5,01/09/2012,30/10/2015,37,7
339,TE,2012,Surakarta,Jawa Tengah,Jalur Kerjasama ,,3.35,3.14,3,0,4,0,4,0,37,22,21,0,6,0,4,0,0,5,01/09/2012,30/11/2015,38,7
340,TE,2012,Surakarta,Jawa Tengah,Jalur Kerjasama ,,2.8,3.09,2.81,0,0,0,4,0,41,22,21,0,6,0,4,0,0,5,01/09/2012,30/11/2015,38,7
341,TM,2012,Klaten,Jawa Tengah,Gelombang  ,6.7,3.9,3.62,2.75,2.68,2.87,3.86,3.22,4,20,24,24,19,23,21,13,4,13,2,01/09/2012,31/08/2016,47,8
342,TM,2012,Magelang,Jawa Tengah,Jalur Prestasi Raport ,74.4,2.85,2.14,2.1,1.17,0.67,2.48,2.81,3.12,20,21,20,18,18,21,21,16,10,4,01/09/2012,31/01/2019,76,13
343,TM,2012,Ponorogo,Jawa Timur,Jalur Prestasi Raport ,79.08,3.1,2.83,2.95,3.05,3,2.63,3.5,4,20,24,22,21,22,19,18,4,14,2,01/09/2012,31/08/2016,47,8
344,TM,2012,Salatiga,Jawa Tengah,Jalur Prestasi Raport ,74.21,3.9,3.78,3.27,3.05,3.7,3.44,3.78,4,20,23,22,19,10,16,18,14,14,3,01/09/2012,31/01/2017,52,10
345,TM,2012,Sleman,Daerah Istimewa Yogyakarta,Gelombang  ,5.65,3,2.42,2.3,2.5,2.9,2.62,2.82,3.33,20,19,20,20,20,21,17,6,10,3,01/09/2012,31/01/2018,64,11
346,TM,2012,Klaten,Jawa Tengah,Gelombang  ,3.75,3.45,3.09,2.26,2.77,3,3.14,3.47,4,20,23,19,22,22,21,17,4,10,1,01/09/2012,30/06/2016,45,8
347,TM,2012,Samarinda,Kalimantan Timur,Gelombang  ,2.75,1.7,1.42,1.95,2.5,2.65,2.77,2.82,1.88,20,19,20,20,20,22,22,21,10,3,01/09/2012,31/07/2017,58,10
348,TM,2012,Bengkalis,Riau,Gelombang  ,7.05,3.45,2.25,2.4,2.16,2.77,2.95,2.47,1.38,20,24,20,19,22,20,19,16,17,5,01/09/2012,31/12/2019,87,15
349,TM,2012,Pontianak,Kalimantan Barat,Jalur Prestasi Raport ,74.41,3.65,3.83,3.1,4,3.5,3.67,3.57,4,20,23,20,22,20,21,14,4,14,1,01/09/2012,30/06/2016,45,8
350,TM,2012,Lubuk Linggau,Sumatera Selatan,Jalur Prestasi Raport ,73.6,2.55,1.32,1.95,2.25,2.8,2.55,3.12,2.83,20,19,20,20,20,22,17,18,10,3,01/09/2012,31/01/2018,64,11
351,TM,2012,Pekalongan,Jawa Tengah,Jalur Prestasi Raport ,67.75,3.05,2.68,2.95,2.55,3,3,3,3,20,19,22,22,20,19,16,7,12,2,01/09/2012,28/02/2017,53,10
352,TM,2012,Surakarta,Jawa Tengah,Gelombang  ,6.9,2.74,2.33,3.6,3.16,0,0,0,0,23,21,15,19,0,0,0,0,11,2,01/09/2012,29/08/2014,23,5
353,TM,2012,Kediri,Jawa Timur,Jalur Prestasi Raport ,78.17,3.1,2.75,3.32,2.62,3.13,3,3.28,2.71,20,24,22,21,23,19,18,7,13,1,01/09/2012,31/08/2016,47,8
354,TM,2012,Magelang,Jawa Tengah,Gelombang  ,5.45,2.85,2.81,2.45,2.65,2.61,3.16,2.88,3,20,21,22,20,23,19,17,19,10,3,01/09/2012,31/01/2017,52,10
355,TM,2012,Surakarta,Jawa Tengah,Jalur UNAS ,79.75,4,3.43,3,3.45,3.35,3.63,3.88,4,20,23,22,22,20,19,16,6,15,1,01/09/2012,30/06/2016,45,8
356,TM,2012,Magelang,Jawa Tengah,Jalur Prestasi Raport ,72.29,2.5,2.21,1.86,2.45,2.05,2.63,2.19,3,20,19,22,22,23,19,21,10,10,3,01/09/2012,31/01/2018,64,11
357,TM,2012,Pringsewu,Lampung,Jalur Prestasi Raport ,70.5,2.3,2.05,2.3,2.59,2.95,3.14,2.95,3.18,20,19,20,22,22,21,20,11,0,2,01/09/2012,31/07/2017,58,10
358,TM,2012,Palangka Raya,Kalimantan Tengah,Jalur Prestasi Raport ,70,3,2.05,2.3,2.53,2.64,3.32,3.78,3.67,20,21,20,19,22,22,18,6,10,1,01/09/2012,31/08/2016,47,8
359,TM,2012,Bengkulu,Bengkulu,Jalur Kerjasama ,3.2,3.35,2.84,2.4,3.14,2.57,3.05,2.76,3.08,20,19,20,21,23,19,17,13,13,1,01/09/2012,31/08/2016,47,8
360,TM,2012,Magelang,Jawa Tengah,Jalur Prestasi Raport ,77.17,3.8,3.83,3.71,3.57,3.43,3.58,4,4,20,24,24,21,23,19,13,4,17,2,01/09/2012,29/07/2016,46,8
361,TM,2012,Sleman,Daerah Istimewa Yogyakarta,Gelombang  ,8.4,3.77,3.65,3.83,4,0,0,0,0,22,23,12,16,0,0,0,0,12,2,01/09/2012,25/07/2014,22,5
362,TM,2012,Jakarta Timur,Daerah Khusus Ibukota Jakarta,Gelombang  ,5.85,3.35,2.58,2.1,2.55,3.05,2.95,3.44,3.6,20,19,20,20,20,19,18,10,11,1,01/09/2012,31/08/2016,47,8
363,TM,2012,Mimika,Irian Jaya/ Papua,Jalur Prestasi Raport ,74.4,2.05,1.53,2.45,1.75,1.6,2.25,2.83,1.86,20,19,20,20,20,16,18,22,10,5,01/09/2012,31/05/2019,80,14
364,TM,2012,Klaten,Jawa Tengah,Jalur Prestasi Raport ,72,3.45,3.18,3.5,2.87,3.32,3.21,3.42,4,20,22,24,23,22,24,12,4,11,1,01/09/2012,31/08/2016,47,8
365,TM,2012,Magelang,Jawa Tengah,Gelombang  ,7.75,3.3,2.17,2.45,2.6,2.91,3,2.38,2.87,20,24,20,20,22,19,13,19,11,3,01/09/2012,31/07/2017,58,10
366,TM,2012,Bantul,Daerah Istimewa Yogyakarta,Jalur Prestasi Raport ,80.41,3.5,3.61,3,3.1,2.48,3.2,3.64,4,20,23,22,21,23,20,15,8,14,2,01/09/2012,30/06/2016,45,8
367,TM,2012,Paniai Nabire,Irian Jaya/ Papua,Jalur Prestasi Raport ,75.16,2.6,2.19,2.47,2.2,2.84,2.95,3.06,2.55,20,21,19,20,19,21,18,11,18,3,01/09/2012,31/01/2018,64,11
368,TM,2012,Banjarnegara,Jawa Tengah,Jalur Prestasi Raport ,79.33,3.6,3.05,3.2,2.78,2.96,3.16,3.07,3,20,22,20,23,23,19,15,6,15,1,01/09/2012,31/08/2016,47,8
369,TM,2012,Samarinda,Kalimantan Timur,Jalur Prestasi Raport ,79.75,2.7,2.48,2.4,2.5,2.96,3.14,3.16,3,20,21,20,20,23,21,19,12,12,1,01/09/2012,31/08/2016,47,8
370,TM,2012,Sleman,Daerah Istimewa Yogyakarta,Jalur Prestasi Raport ,77.5,3.25,2.71,3.73,2.74,3.05,2.71,2.83,4,20,24,22,23,22,17,16,4,11,2,01/09/2012,29/04/2016,43,8
371,TM,2012,Sleman,Daerah Istimewa Yogyakarta,Jalur Prestasi Raport ,68.1,2.4,2.68,2.59,2.27,3.1,2.95,2.75,2.29,20,19,22,22,20,21,24,17,9,3,01/09/2012,31/01/2017,52,10
372,TM,2012,Magelang,Jawa Tengah,Jalur Prestasi Raport ,72.7,2.9,2.37,3.3,2.64,3.04,3.26,3.2,3.44,20,19,20,22,23,19,15,9,15,1,01/09/2012,31/08/2016,47,8
373,TM,2012,Surakarta,Jawa Tengah,Gelombang  ,6.15,3.55,3.48,3.36,3.12,3.35,3.48,3.43,4,20,23,22,24,23,21,11,4,14,2,01/09/2012,29/04/2016,43,8
374,TM,2012,Magelang,Jawa Tengah,Jalur Prestasi Raport ,72.98,3.2,2.83,3.41,2.83,2.95,3.38,2.8,4,20,24,22,23,22,21,14,4,14,2,01/09/2012,29/04/2016,43,8
375,TM,2012,Klaten,Jawa Tengah,Jalur Prestasi Raport ,68.2,3.35,3.12,3.33,3.13,3.13,3.33,3.64,4,20,24,24,23,23,21,11,4,10,2,01/09/2012,29/07/2016,46,8
376,TM,2012,Klaten,Jawa Tengah,Jalur Prestasi Raport ,64,2.8,2.37,2.85,2.59,2.87,2.74,2.17,2.79,20,19,20,22,23,19,12,18,13,4,01/09/2012,29/12/2017,63,11
377,TM,2012,Palembang,Sumatera Selatan,Gelombang  ,8.25,3,2.05,3.1,2.5,3,2.81,2.61,2.52,20,19,20,20,19,21,18,21,13,2,01/09/2012,31/07/2017,58,10
378,TM,2012,Pasir,Kalimantan Timur,Gelombang  ,3.85,1.95,1.95,3.15,2,3,2.55,2.54,2.08,20,19,20,23,20,22,13,13,12,3,01/09/2012,31/07/2017,58,10
379,TM,2012,Surakarta,Jawa Tengah,Gelombang  ,6.15,3.28,3,3.45,3.31,4,0,0,0,25,18,20,13,4,0,0,0,11,2,01/09/2012,19/12/2014,27,5
380,TM,2012,Yogyakarta,Daerah Istimewa Yogyakarta,Jalur Prestasi Raport ,77.1,3,0.18,1,2.8,2,3.32,2.94,2.16,20,22,20,20,22,19,20,23,23,4,01/09/2012,31/01/2018,64,11
381,TM,2012,Surakarta,Jawa Tengah,Gelombang  ,4.35,2.75,2.82,3.55,2.76,2.91,3.47,2.93,0,20,22,22,21,22,19,14,0,11,1,01/09/2012,31/10/2016,49,9
382,TM,2012,Sleman,Daerah Istimewa Yogyakarta,Jalur Prestasi Raport ,75.41,4,3.88,3.88,3.91,3.52,3.52,4,0,20,24,24,23,23,21,9,0,12,1,01/09/2012,29/01/2016,40,7
383,TM,2012,Surakarta,Jawa Tengah,Jalur Prestasi Raport ,69.9,3.35,3,3.73,2.91,3.05,3.53,2.6,4,20,24,22,23,22,19,14,4,11,2,01/09/2012,29/04/2016,43,8
384,TM,2012,Magelang,Jawa Tengah,Jalur Prestasi Raport ,72.68,3.05,2.82,3.41,2.81,3.32,3.11,3.07,4,20,22,22,21,22,19,14,4,10,1,01/09/2012,31/08/2016,47,8
385,TM,2012,Surakarta,Jawa Tengah,Jalur Prestasi Raport ,66.83,3.2,3.24,3.21,2.86,3.15,3.17,3.18,3.44,20,21,24,22,20,23,17,9,11,1,01/09/2012,31/08/2016,47,8
386,TM,2012,Magelang,Jawa Tengah,Gelombang  ,7.75,3.8,3.88,3.41,3.1,3.36,3.18,3.14,4,20,24,22,21,22,17,14,4,15,1,01/09/2012,31/08/2016,47,8
387,TM,2012,Magelang,Jawa Tengah,Gelombang  ,7.1,2.95,3.05,2.83,2.65,3.22,4,0,0,21,22,23,23,18,2,0,0,12,3,01/09/2012,30/06/2015,33,7
388,TM,2012,Bantul,Daerah Istimewa Yogyakarta,Jalur Prestasi Raport ,75.1,2.85,2.76,2.86,2.68,2.85,3,3.39,4,20,21,22,22,20,17,18,4,12,1,01/09/2012,31/08/2016,47,8
389,TM,2012,Klaten,Jawa Tengah,Gelombang  ,5.3,2.65,2.63,3.05,2.71,3.14,3.42,3.31,0,20,19,22,21,22,24,16,0,16,2,01/09/2012,31/07/2017,58,10
390,TM,2012,Magelang,Jawa Tengah,Gelombang  ,5.1,2.3,2.26,2.8,2.95,2.75,3.24,3.1,3.69,20,19,20,21,20,21,21,16,11,1,01/09/2012,31/08/2016,47,8
391,TM,2012,Palembang,Sumatera Selatan,Jalur UNAS ,82.83,2.4,2.42,2.3,2.21,3.1,3,2.91,3,20,19,20,19,20,21,23,14,12,1,01/09/2012,31/08/2016,47,8
392,TM,2012,Magelang,Jawa Tengah,Jalur UNAS ,78.7,2.5,2.64,3.27,2.62,3.14,3.37,2.45,3,20,22,22,21,22,19,11,7,12,2,01/09/2012,31/10/2016,49,9
393,TM,2012,Klaten,Jawa Tengah,Gelombang  ,7.05,2.76,3,3.22,2,0,3.26,0,0,25,20,18,16,0,19,0,0,11,4,01/09/2012,30/06/2015,33,7
394,TM,2012,Salatiga,Jawa Tengah,Jalur UNAS ,86.41,3.7,3.76,3.64,4,3.5,4,4,4,20,21,22,20,20,21,16,4,21,1,01/09/2012,29/07/2016,46,8
395,TM,2012,Pontianak,Kalimantan Barat,Jalur UNAS ,76.83,3.8,3.43,3.32,3.35,3.25,3.62,3.56,4,20,21,22,20,20,21,18,6,11,1,01/09/2012,31/08/2016,47,8
396,TM,2012,Surakarta,Jawa Tengah,Gelombang  ,5.3,2.96,2.78,2.73,2.9,3.4,2.62,0,0,23,23,22,20,15,8,0,0,8,3,01/09/2012,30/06/2015,33,7
397,TM,2012,Kulonprogo,Daerah Istimewa Yogyakarta,Gelombang  ,5.2,2.85,2.52,2.59,2.6,3.1,3.52,3.25,4,20,21,22,20,20,21,20,6,13,1,01/09/2012,31/08/2016,47,8
398,TM,2012,Surakarta,Jawa Tengah,Jalur UNAS ,77.77,2.9,2.36,2.85,2.29,2.9,3.05,2.83,2.79,20,22,20,21,20,21,18,14,15,2,01/09/2012,30/11/2016,50,10
399,TM,2012,Pringsewu,Lampung,Jalur UNAS ,77,2.4,1.32,2.1,1.8,2.6,2.74,2.14,3.17,20,19,20,20,20,19,22,12,11,3,01/09/2012,30/11/2017,62,11
400,TM,2012,Palembang,Sumatera Selatan,Jalur UNAS ,89.75,3.3,2.91,2.68,3.4,3.04,3.62,3.45,4,20,23,22,20,23,21,22,2,17,2,01/09/2012,29/07/2016,46,8
401,TM,2012,Mimika,Irian Jaya/ Papua,Gelombang  ,6.05,3.4,3.57,2.77,3.35,3.35,3.43,3.62,4,20,21,22,20,20,21,21,4,12,1,01/09/2012,29/07/2016,46,8
402,TM,2012,Simalungun,Sumatera Utara,Jalur UNAS ,84,2.65,2.57,2.18,2.55,3.23,3.52,3.48,3,20,21,22,20,22,21,23,6,15,1,01/09/2012,31/08/2016,47,8
403,TM,2012,Magelang,Jawa Tengah,Gelombang  ,6,2.6,2.14,2.65,1.95,2.7,2.16,2.75,3.25,20,22,20,22,20,19,20,24,10,3,01/09/2012,31/07/2017,58,10
